Date,State,electric_vehicles_sold,total_vehicles_sold,Population
2021-04-01,Andaman & Nicobar Islands,9,683,36861.95652395882
2021-04-01,Andhra Pradesh,462,71281,8183257.597776803
2021-04-01,Arunachal Pradesh,0,1980,133902.75020776642
2021-04-01,Assam,7,36920,3019197.4154505488
2021-04-01,Bihar,51,86787,10071634.677657714
2021-04-01,Chandigarh,8,2626,102071.82187080462
2021-04-01,Chhattisgarh,36,11837,2471492.5968622784
2021-04-01,DNH and DD,1,935,56792.568187831566
2021-04-01,Delhi,333,22309,1624248.1000635717
2021-04-01,Goa,44,4816,141159.04086208902
2021-04-01,Gujarat,142,66391,5847602.761963441
2021-04-01,Haryana,104,46554,2452722.991703097
2021-04-01,Himachal Pradesh,10,7904,664192.471225662
2021-04-01,Jammu & Kashmir,22,11981,1213348.5479447967
2021-04-01,Jharkhand,83,30394,3191606.881397254
2021-04-01,Karnataka,1639,76843,5910974.367011191
2021-04-01,Kerala,511,81284,3232048.6079773447
2021-04-01,Ladakh,0,22,
2021-04-01,Madhya Pradesh,128,34847,7026701.618019834
2021-04-01,Maharashtra,524,62344,10872245.41318464
2021-04-01,Manipur,2,3856,276319.5481166048
2021-04-01,Meghalaya,1,2119,287058.8582850021
2021-04-01,Mizoram,0,1788,106135.34463722524
2021-04-01,Nagaland,0,1308,191469.3227320591
2021-04-01,Odisha,196,42054,4061007.25232716
2021-04-01,Puducherry,18,3236,120744.6764879281
2021-04-01,Punjab,13,33303,2684150.2883049594
2021-04-01,Rajasthan,347,59475,6632056.156966744
2021-04-01,Sikkim,0,759,59114.58119721481
2021-04-01,Tamil Nadu,1372,126484,6980261.357832171
2021-04-01,Tripura,0,3195,355461.49151974986
2021-04-01,Uttar Pradesh,175,160896,19331919.309620105
2021-04-01,Uttarakhand,44,10335,975825.9671933034
2021-04-01,West Bengal,33,73525,8831002.476852667
2021-05-01,Andaman & Nicobar Islands,0,5,36880.359897161
2021-05-01,Andhra Pradesh,217,47201,8187343.098324869
2021-05-01,Arunachal Pradesh,0,854,133969.6013062226
2021-05-01,Assam,0,18018,3020704.753151722
2021-05-01,Bihar,8,57525,10076662.952584151
2021-05-01,Chandigarh,1,824,102122.7813425324
2021-05-01,Chhattisgarh,6,6667,2472726.4923175266
2021-05-01,DNH and DD,0,654,56820.92194129529
2021-05-01,Delhi,0,43,1625059.0077520704
2021-05-01,Goa,31,772,141229.5146718055
2021-05-01,Gujarat,135,49378,5850522.184211051
2021-05-01,Haryana,18,11688,2453947.516411885
2021-05-01,Himachal Pradesh,5,3224,664524.0700630188
2021-05-01,Jammu & Kashmir,50,4288,1213954.313570331
2021-05-01,Jharkhand,40,23970,3193200.294717971
2021-05-01,Karnataka,142,5588,5913925.427603808
2021-05-01,Kerala,143,11839,3233662.2118754857
2021-05-01,Ladakh,0,81,
2021-05-01,Madhya Pradesh,1,6497,7030209.70669583
2021-05-01,Maharashtra,310,30155,10877673.39392013
2021-05-01,Manipur,0,297,276457.50096139585
2021-05-01,Meghalaya,1,420,287202.1727424584
2021-05-01,Mizoram,0,19,106188.3328272588
2021-05-01,Nagaland,0,251,191564.91400651343
2021-05-01,Odisha,28,6622,4063034.7147596735
2021-05-01,Puducherry,5,433,120804.958403299
2021-05-01,Punjab,21,19568,2685490.3533515423
2021-05-01,Rajasthan,40,21558,6635367.2184529975
2021-05-01,Sikkim,0,211,59144.09421828181
2021-05-01,Tamil Nadu,251,21250,6983746.2611561
2021-05-01,Tripura,0,2255,355638.95606868627
2021-05-01,Uttar Pradesh,28,161474,19341570.792051267
2021-05-01,Uttarakhand,6,4102,976313.1494035844
2021-05-01,West Bengal,12,32868,8835411.364759233
2021-06-01,Andaman & Nicobar Islands,0,2,36898.76327036317
2021-06-01,Andhra Pradesh,408,59965,8191428.5988729345
2021-06-01,Arunachal Pradesh,0,1292,134036.45240467883
2021-06-01,Assam,7,26428,3022212.0908528958
2021-06-01,Bihar,71,106463,10081691.227510592
2021-06-01,Chandigarh,14,3364,102173.74081426024
2021-06-01,Chhattisgarh,143,36334,2473960.387772775
2021-06-01,DNH and DD,3,861,56849.27569475901
2021-06-01,Delhi,353,35100,1625869.9154405694
2021-06-01,Goa,31,2282,141299.98848152196
2021-06-01,Gujarat,268,78480,5853441.606458661
2021-06-01,Haryana,78,45377,2455172.041120673
2021-06-01,Himachal Pradesh,26,8291,664855.6689003756
2021-06-01,Jammu & Kashmir,88,13146,1214560.079195865
2021-06-01,Jharkhand,46,37938,3194793.7080386886
2021-06-01,Karnataka,631,27432,5916876.488196425
2021-06-01,Kerala,324,27846,3235275.8157736277
2021-06-01,Ladakh,0,115,
2021-06-01,Madhya Pradesh,240,103020,7033717.795371826
2021-06-01,Maharashtra,1081,99915,10883101.37465562
2021-06-01,Manipur,0,107,276595.45380618697
2021-06-01,Meghalaya,0,600,287345.4871999147
2021-06-01,Mizoram,0,946,106241.32101729236
2021-06-01,Nagaland,0,96,191660.50528096777
2021-06-01,Odisha,149,26234,4065062.177192188
2021-06-01,Puducherry,31,3004,120865.2403186699
2021-06-01,Punjab,74,30519,2686830.4183981246
2021-06-01,Rajasthan,549,71879,6638678.279939251
2021-06-01,Sikkim,0,473,59173.607239348814
2021-06-01,Tamil Nadu,702,52990,6987231.164480031
2021-06-01,Tripura,1,1708,355816.4206176228
2021-06-01,Uttar Pradesh,95,290113,19351222.274482425
2021-06-01,Uttarakhand,44,12738,976800.3316138656
2021-06-01,West Bengal,30,73670,8839820.2526658
2021-07-01,Andaman & Nicobar Islands,8,643,36917.16664356535
2021-07-01,Andhra Pradesh,847,66042,8195514.099420999
2021-07-01,Arunachal Pradesh,0,1655,134103.303503135
2021-07-01,Assam,22,27509,3023719.428554069
2021-07-01,Bihar,194,76000,10086719.50243703
2021-07-01,Chandigarh,20,3202,102224.70028598804
2021-07-01,Chhattisgarh,265,35558,2475194.2832280225
2021-07-01,DNH and DD,3,980,56877.62944822272
2021-07-01,Delhi,949,39988,1626680.8231290684
2021-07-01,Goa,74,2676,141370.4622912384
2021-07-01,Gujarat,411,92433,5856361.028706271
2021-07-01,Haryana,140,39000,2456396.565829462
2021-07-01,Himachal Pradesh,20,10354,665187.2677377324
2021-07-01,Jammu & Kashmir,204,15440,1215165.844821399
2021-07-01,Jharkhand,112,34532,3196387.1213594056
2021-07-01,Karnataka,3580,105641,5919827.548789041
2021-07-01,Kerala,595,59861,3236889.4196717683
2021-07-01,Ladakh,0,603,
2021-07-01,Madhya Pradesh,486,113675,7037225.884047821
2021-07-01,Maharashtra,2387,184146,10888529.355391106
2021-07-01,Manipur,0,542,276733.406650978
2021-07-01,Meghalaya,1,1485,287488.801657371
2021-07-01,Mizoram,0,1315,106294.30920732592
2021-07-01,Nagaland,0,1622,191756.0965554221
2021-07-01,Odisha,327,43632,4067089.639624703
2021-07-01,Puducherry,38,4458,120925.5222340408
2021-07-01,Punjab,321,36589,2688170.4834447065
2021-07-01,Rajasthan,1430,81682,6641989.341425505
2021-07-01,Sikkim,0,910,59203.120260415824
2021-07-01,Tamil Nadu,2889,143665,6990716.06780396
2021-07-01,Tripura,0,2563,355993.8851665592
2021-07-01,Uttar Pradesh,311,243179,19360873.75691359
2021-07-01,Uttarakhand,87,16450,977287.5138241468
2021-07-01,West Bengal,73,85584,8844229.140572365
2021-08-01,Andaman & Nicobar Islands,1,516,36935.57001676752
2021-08-01,Andhra Pradesh,744,66718,8199599.599969068
